InternalRef,OrderId,PostedOn,Amount,DrCr,CustomerName,Notes,_ground_truth_economic_id,SettlementBatchRef
INTREF00001,ORD200001,2026-09-14,2592.83,CR,R KUMAR,Order ORD200001 settlement due,CB-EXACT-0001,
INTREF00002,ORD200002,2026-09-18,2514.07,CR,S PATEL,Order ORD200002 settlement due,CB-EXACT-0002,
INTREF00003,ORD200003,2026-09-22,8651.18,CR,A SHARMA,Order ORD200003 settlement due,CB-EXACT-0003,
INTREF00004,ORD200004,2026-09-21,2832.93,CR,N REDDY,Order ORD200004 settlement due,CB-EXACT-0004,
INTREF00005,ORD200005,2026-09-22,6132.1,CR,S PATEL,Order ORD200005 settlement due,CB-EXACT-0005,
INTREF00006,ORD200006,2026-09-23,6805.03,CR,N REDDY,Order ORD200006 settlement due,CB-EXACT-0006,
INTREF00007,ORD200007,2026-09-04,5016.18,CR,R KUMAR,Order ORD200007 settlement due,CB-EXACT-0007,
INTREF00008,ORD200008,2026-09-17,7664.12,CR,R KUMAR,Order ORD200008 settlement due,CB-EXACT-0008,
INTREF00009,ORD200009,2026-09-19,5416.42,CR,N REDDY,Order ORD200009 settlement due,CB-EXACT-0009,
INTREF00010,ORD200010,2026-09-24,7672.52,CR,S PATEL,Order ORD200010 settlement due,CB-EXACT-0010,
INTREF-BUNDLE-0001-1,,2026-09-11,366.44,CR,R KUMAR,"Order settlement due, batch BATCHB800001",CB-BUNDLE-0001,BATCHB800001
INTREF-BUNDLE-0001-2,,2026-09-11,745.9,CR,S PATEL,"Order settlement due, batch BATCHB800001",CB-BUNDLE-0001,BATCHB800001
INTREF-BUNDLE-0001-3,,2026-09-11,1101.3,CR,A SHARMA,"Order settlement due, batch BATCHB800001",CB-BUNDLE-0001,BATCHB800001
INTREF-VAR-00001,ORDVAR300001,2026-09-15,14917.89,CR,R KUMAR,Order ORDVAR300001 settlement due,CB-UNEXPLAINED-0001,
COLLINT00001,,2026-09-01,9414.36,CR,R KUMAR TRADERS,"Provisional collection booked gross; MDR, GST, commission and TDS deducted on settlement",SHYD-PG-CHARGES-0001,
COLLINT00002,,2026-09-03,17860.21,CR,S PATEL ENTERPRISES,"Provisional collection booked gross; MDR, GST, commission and TDS deducted on settlement",SHYD-PG-CHARGES-0002,
COLLINT00003,,2026-09-02,6856.47,CR,N REDDY AGENCIES,"Provisional collection booked gross; MDR, GST, commission and TDS deducted on settlement",SHYD-PG-CHARGES-0003,
